"","id","name","price","rating","review_count","city","state","zip_code","latitude","longitude"
"2751","vals-its-about-time-altus","Val's It's About Time","$",3,27,"Altus","OK","73521",34.64560699,-99.33346558
"2752","fort-myers-brewing-company-fort-myers","Fort Myers Brewing Company","$",4.5,83,"Fort Myers","FL","33913",26.56172258,-81.74288832
"2753","bury-me-brewing-fort-myers-2","Bury Me Brewing","$$",4.5,29,"Fort Myers","FL","33901",26.60073479,-81.8721577
"2754","millennial-brewing-company-fort-myers","Millennial Brewing Company","$",4,23,"Fort Myers","FL","33901",26.64289284,-81.86437225
"2755","old-soul-brewing-fort-myers","Old Soul Brewing","$",4,32,"Fort Myers","FL","33907",26.58061221,-81.87402801
"2756","point-ybel-brewing-company-fort-myers","Point Ybel Brewing Company","$",4.5,60,"Fort Myers","FL","33908",26.5065885,-81.9441559
"2757","cape-coral-brewing-company-cape-coral-2","Cape Coral Brewing Company","$$",4.5,16,"Cape Coral","FL","33904",26.56072397,-81.95595998
"2758","palm-city-brewing-fort-myers","Palm City Brewing","$",5,6,"Fort Myers","FL","33967",26.4866587,-81.82315037
"2759","big-blue-brewing-cape-coral-2","Big Blue Brewing","$$",3.5,68,"Cape Coral","FL","33904",26.56385691,-81.95230544
"2760","no-3-craft-brews-and-beer-bar-cape-coral","No.3 Craft Brews & Beer Bar","$$",5,37,"Cape Coral","FL","33904",26.56294,-81.94795
"2761","scottys-bierwerks-cape-coral","Scotty's Bierwerks","$$",4.5,7,"Cape Coral","FL","33909",26.66783315,-81.9290993
"2762","wicked-dolphin-distillery-cape-coral","Wicked Dolphin Distillery","$$",4.5,38,"Cape Coral","FL","33991",26.647552,-81.980729
"2763","world-of-beer-ft-myers-2","World Of Beer","$$",3.5,43,"Ft. Myers","FL","33913",26.4915282,-81.7852018
"2764","smokin-oyster-fort-myers-beach","Smokin' Oyster","$$",4,322,"Fort Myers Beach","FL","33931",26.45514,-81.95499
"2765","bjs-restaurant-and-brewhouse-fort-myers","BJ's Restaurant & Brewhouse","$$",3.5,132,"Fort Myers","FL","33913",26.4922613,-81.78963092
"2766","southwest-florida-brewery-tours-fort-myers","Southwest Florida Brewery Tours",NA,5,3,"Fort Myers","FL","33900",26.274957,-81.706384
"2767","the-brass-tap-coconut-point-estero","The Brass Tap - Coconut Point","$$",3,63,"Estero","FL","33928",26.404088,-81.806817
"2768","stillwater-grille-fort-myers","Stillwater Grille","$$",3.5,100,"Fort Myers","FL","33919",26.54641,-81.91331
"2769","time-to-make-wine-fort-myers-3","Time To Make Wine",NA,4.5,2,"Fort Myers","FL","33907",26.58065004,-81.87376499
"2770","rosatis-pizza-sports-pub-fort-myers","Rosati's Pizza Sports Pub","$$",3.5,38,"Fort Myers","FL","33908",26.5213744,-81.8680711
"2771","bowling-green-beer-works-bowling-green","Bowling Green Beer Works","$",5,5,"Bowling Green","OH","43402",41.37752151,-83.65299988
"2772","mst-pub-and-grub-tiffin-2","MST Pub & Grub","$$",4.5,17,"Tiffin","OH","44883",41.11323841,-83.17732662
"2773","ninkasi-brewing-company-eugene","Ninkasi Brewing Company","$",4.5,206,"Eugene","OR","97402",44.05685425,-123.1098785
"2774","coldfire-brewing-eugene","ColdFire Brewing","$$",5,24,"Eugene","OR","97401",44.05692561,-123.0863239
"2775","viking-braggot-co-eugene","Viking Braggot Co.","$",5,20,"Eugene","OR","97402",44.05425,-123.16771
"2776","falling-sky-brewing-eugene-2","Falling Sky Brewing","$$",4,360,"Eugene","OR","97401",44.04520041,-123.0920475
"2777","oakshire-brewing-public-house-eugene","Oakshire Brewing Public House","$",4.5,90,"Eugene","OR","97402",44.0574838,-123.1033461
"2778","agrarian-ales-eugene","Agrarian Ales","$$",4.5,34,"Eugene","OR","97408",44.18901085,-123.1258434
