id,brewery_id,altmap,lat,lng,map,name,status
267,16632,,34.833011,-92.232444,,107 Liquor,Beer Store
268,18156,,0,0,,,
269,20669,,0,0,,,
270,16639,,34.195085,-91.922912,,Big Dog Liquor,Beer Store
271,16625,,34.781439,-92.46833,,Big Orange,Beer Bar
272,18157,,34.75308,-92.341036,,Big Orange Midtown,Beer Bar
273,20663,,0,0,,,
274,19801,,0,0,,,
275,16638,,36.121469,-94.139131,,"Bottle Wine and Spirits, The",Beer Store
276,5213,,36.066417,-94.164313,,Brewski's Draft Emporium,Beer Bar
277,20665,,0,0,,,
278,16623,,34.75394,-92.399404,,Colonial Wine and Spirits,Beer Store
279,20664,,0,0,,,
280,15232,,0,0,,,
281,20667,,0,0,,,
282,359,,0,0,,,
283,16633,,36.066132,-94.163819,,Farrell's Lounge,Beer Bar
284,15231,,34.792228,-92.286733,,Fermentables and Homegrown Hobbies,Homebrew
285,6345,,34.747721,-92.267605,,Flying Saucer - Little Rock,Beer Bar
286,18350,,0,0,,,
287,15508,,0,0,,,
288,18273,,0,0,,,
289,606,,0,0,,,
290,11364,,36.095111,-94.151987,,"Home Brewery, The",Homebrew
291,14705,,36.315021,-92.408431,,Judicious Spirits,Beer Store
292,16621,,34.753729,-92.393925,,Khalil's Pub and Grill,Beer Bar
293,16624,,34.884223,-92.384916,,Lake Liquor,Beer Store
294,16634,,36.111518,-94.14457,,Liquor World,Beer Store
295,20589,,0,0,,,
296,16635,,36.192992,-94.183271,,Macadoodles - Springdale,Beer Store
297,16636,,36.121712,-94.138456,,Mellow Mushroom - Fayetteville,Beer Bar
298,18158,,34.75647,-92.447321,,Mellow Mushroom West Little Rock,Beer Bar
299,18160,,34.754494,-92.410749,,Metro Wine and Spirits,Beer Store
300,16628,,35.090003,-92.438523,,Old Chicago - Conway,Beer Bar
301,16627,,34.794213,-92.222708,,Old Chicago - N Little Rock,Beer Bar
302,18351,,0,0,,,
303,11344,,34.771836,-92.400635,,"Pantry, The",Beer Bar
304,17489,,36.049126,-94.217549,,Premier Wine and Spirits,Beer Store
305,20668,,0,0,,,
306,13830,,0,0,,,
307,16622,,34.756572,-92.267396,,Reno's Argenta Cafe,Beer Bar
308,15749,,0,0,,,
309,11346,,34.78939,-92.22141,,Springhill Wine and Spirits,Beer Store
310,17840,,0,0,,,
311,18161,,33.202108,-92.689784,,Timberlane Wine and Spirits,Beer Store
312,1384,,0,0,,,
313,14611,,0,0,,,
314,14571,,37.902054,-122.062879,sanfran,andOslash;L Beercafe and Bottle Shop,Beer Bar
315,19775,,37.493837,-120.846004,,10 East Kitchen and Taphouse,Beer Bar
316,17363,winecountry,38.269454,-122.664051,pacific,101 North Brewing,Brewery
317,13305,,34.068327,-118.262372,losangeles,1642 Beer and Wine,Beer Bar
318,20731,sanfran,37.711243,-122.176634,pacific,21st Amendment Brewery - San Leandro,Brewery
319,1,sanfran,37.782257,-122.392395,pacific,21st Amendment Brewery Cafe,Brewpub
320,18725,sandiego,32.896124,-117.137467,pacific,2Kids Brewing Company,Brewery
321,15942,,33.989504,-118.219647,losangeles,2M Liquor,Beer Store
322,19141,,37.493545,-122.246021,sanfran,3 Pigs,Beer Bar
323,19898,,0,0,,,
324,13308,,34.071378,-118.360396,losangeles,326 Beer and Wine,Beer Bar
325,12444,,34.094357,-118.127927,losangeles,38 Degrees Ale House and Grill,Beer Bar
326,8761,,34.07358,-118.380761,losangeles,"3rd Stop, The",Beer Bar
327,19315,,33.821051,-118.329008,,3TEN Liquor,Beer Store
328,8104,,34.092965,-118.28147,losangeles,4100 Bar,Beer Bar
329,11241,,37.784325,-122.404207,sanfran,4th Street Bar and Deli,Beer Bar
330,13128,sandiego,32.742529,-117.184501,pacific,5 Points Brewing Company,Brewery
331,17135,,34.11637,-118.262973,losangeles,55 Degree Wine,Beer Store
332,10285,,37.46358,-122.225417,sanfran,5th Quarter Pizza,Beer Bar
333,1940,,33.980556,-118.037384,losangeles,6740,Beer Bar
334,11641,,34.106125,-118.199782,losangeles,7-Eleven (Highland Park),Beer Store
335,21085,,0,0,,,
336,11810,,34.084002,-118.356785,losangeles,8oz Burger Bar,Beer Bar
337,15944,,0,0,,,
338,15390,,32.728885,-117.171907,sandiego,98 Bottles,Beer Bar
339,7617,,36.97341,-122.026673,,99 Bottles of Beer on the Wall,Beer Bar
340,2513,,34.090881,-117.881783,losangeles,A and J Liquor,Beer Store
341,8780,,37.84207,-122.251153,sanfran,A Cote Restaurant,Beer Bar
342,1941,,33.742527,-118.103821,losangeles,"Abbey, The",Beer Bar
343,2514,,33.759911,-118.146927,losangeles,ABC Liquor,Beer Store
344,18676,losangeles,33.843141,-118.337896,pacific,Absolution Brewing Company,Brewery
345,9,losangeles,33.599949,-117.875305,pacific,Academy of Fine Beers,Brewery
346,17208,sandiego,32.74258,-117.184637,pacific,Acoustic Ales Brewing Experiment,Brewery
347,15898,,37.846828,-122.284798,sanfran,Actual Cafe,Beer Bar
348,14456,,33.823485,-118.385442,losangeles,Adam's Fine Wine and Liquor,Beer Store
349,12542,,33.859378,-117.904215,losangeles,Addison Homebrew Provisions,Homebrew
350,2166,,32.73785,-117.176476,sandiego,"Aero Club, The",Beer Bar
351,17853,,0,0,,,
352,17629,,37.892395,-122.299608,sanfran,Albany Tap Room,Beer Bar
353,2200,,37.871258,-122.29319,sanfran,Albatross Pub,Beer Bar
354,14395,,32.721443,-117.130125,sandiego,Alchemy,Beer Bar
355,15920,,37.501781,-122.255237,sanfran,Ale Arsenal,Beer Bar
356,10588,sanfran,37.951282,-122.028234,pacific,Ale Industries,Brewery
357,13567,,40.575734,-122.35782,,AleHouse Pub,Beer Bar
358,3583,,37.769333,-122.451065,sanfran,"Alembic, The",Beer Bar
359,17,sandiego,32.892029,-117.143341,pacific,AleSmith Brewing Company,Brewery
360,17100,,33.782841,-118.157431,losangeles,Alex's Bar,Beer Bar
361,19746,,37.386673,-122.265394,,Alice's Restaurant,Beer Bar
362,15444,,32.804445,-116.971639,sandiego,All About Brewing,Homebrew
363,11993,,32.770596,-117.158584,sandiego,All American Grill,Beer Bar
364,14411,,38.571236,-121.481297,sacramento,Alley Katz,Beer Bar
365,17605,sanfran,37.753106,-122.406734,,Almanac Beer Taproom,Brewpub
366,18639,losangeles,34.104574,-117.878892,pacific,Alosta Brewing Company,Brewery
367,19,sandiego,32.835476,-116.765289,pacific,Alpine Beer Company,Brewery
368,1942,,33.841915,-118.299606,losangeles,Alpine Village,Beer Bar
369,17399,sanfran,37.67626,-121.720092,pacific,Altamont Beer Works,Brewery
370,19877,,0,0,,,
371,20457,,0,0,,,
372,13456,,33.640855,-117.603104,losangeles,Amazing Grapes Wine Store,Beer Store
373,4696,,32.83753,-117.128415,sandiego,American Home Brewing Supply,Homebrew
374,15742,sacramento,38.602932,-121.270972,pacific,American River Brewing,Brewery
375,2201,,37.759296,-122.421463,sanfran,Amnesia Bar,Beer Bar
376,17209,sandiego,32.791216,-117.254301,pacific,Amplified Ale Works,Brewery
377,29,,0,0,,,
378,14481,losangeles,33.83263,-117.912505,pacific,Anaheim Brewery,Brewery
379,11198,,37.618403,-122.386193,sanfran,Anchor Brewing - SFO airport,Beer Bar
380,31,sanfran,37.763718,-122.400528,pacific,Anchor Brewing Co.,Brewery
381,32,winecountry,39.00106,-123.356155,pacific,Anderson Valley Brewing Company,Brewery
382,15781,losangeles,34.046606,-118.237818,pacific,Angel City Brewery,Brewery
383,11709,,37.485457,-122.226119,sanfran,Angelica's Bistro,Beer Bar
384,37,sacramento,38.236259,-122.093636,pacific,Anheuser-Busch - Fairfield,Brewery
385,46,losangeles,34.220867,-118.476433,pacific,Anheuser-Busch Inc - Van Nuys,Brewery
386,12436,,33.64678,-117.845464,losangeles,Anthill Pub,Beer Bar
387,15986,,37.376251,-121.833879,sanfran,Antipastos,Beer Store
388,14375,,36.976864,-121.899409,,Aptos St. BBQ,Beer Bar
389,18690,sandiego,33.14021,-117.273924,pacific,Arcana Brewing,Brewery
390,17428,losangeles,33.945887,-117.451213,pacific,Area 51 Craft Brewery,Brewery
391,18739,sanfran,37.655445,-122.413131,pacific,Armstrong Brewing,Brewery
392,2515,,34.108963,-118.114441,losangeles,Arroyo Liquor,Beer Store
393,19788,losangeles,33.44935,-117.605586,pacific,Artifex Brewing Company,Brewery
394,2644,,32.583061,-117.105659,sandiego,Ashur Liquor,Beer Store
395,5294,sacramento,38.895557,-121.07825,pacific,Auburn Alehouse Brewery and Restaurant,Brewpub
396,14244,,33.698281,-117.826882,losangeles,Auld Dubliner - Tustin,Beer Bar
397,1943,,33.766331,-118.192604,losangeles,"Auld Dubliner, The - Long Beach",Beer Bar
398,9902,,37.633282,-118.971696,,"Auld Dubliner, The - Mammoth",Beer Bar
399,9900,,39.197249,-120.234472,renotahoe,"Auld Dubliner, The - Squaw Valley",Beer Bar
400,5364,,38.441249,-122.714128,winecountry,Ausiello's 5th Street Grill,Beer Bar
401,17210,sandiego,32.763589,-117.120152,pacific,Automatic Brewing Company,Brewery
402,15398,sandiego,33.14971,-117.229717,pacific,Aztec Brewery,Brewery
403,66,,0,0,,,
404,8481,,34.095175,-117.720243,losangeles,"Back Abbey, The",Beer Bar
405,68,losangeles,33.705765,-117.78624,pacific,Back Street Brewery - Irvine,Brewpub
406,3969,,0,0,,,
407,70,sandiego,33.200039,-117.24486,pacific,Back Street Brewery - Vista,Brewpub
408,6373,,33.672336,-117.95104,losangeles,Back Street Tap House - HB1,Beer Bar
409,6374,,33.71565,-118.005568,losangeles,Back Street Tap House - HB2,Beer Bar
410,6375,,33.787895,-117.8345,losangeles,Back Street Tap House - Orange,Beer Bar
411,6376,,33.888365,-117.827134,losangeles,Back Street Tap House - YL1,Beer Bar
412,6377,,33.87747,-117.753989,losangeles,Back Street Tap House - YL2,Beer Bar
413,16551,sanfran,38.074939,-122.538264,pacific,Baeltane Brewing,Brewery
414,19495,sandiego,33.189225,-117.374257,pacific,Bagby Beer Company,Brewpub
415,74,sandiego,32.767429,-117.195137,pacific,Ballast Point Brewing Co.,Brewery
416,75,sandiego,32.898617,-117.111008,pacific,Ballast Point Brewing Co. - Main Brewery,Brewery
417,19467,,0,0,,,
418,16149,,38.751661,-121.285951,sacramento,Bar 101,Beer Bar
419,11675,,34.043395,-118.4689,losangeles,Bar*Food,Beer Bar
420,10189,,34.10613,-118.27258,losangeles,Barbarella Bar,Beer Bar
421,20961,sanfran,37.740113,-122.409035,,Barebottle Brewing Company,Brewery
422,16135,,34.278295,-119.292543,,Barelhouse 101,Beer Bar
423,80,,0,0,,,
424,11323,,33.474926,-117.122045,,Barley and Hops - Olde World Tavern,Beer Bar
425,13120,,38.406953,-122.94809,winecountry,Barley and Hops Tavern,Beer Bar
426,19727,losangeles,33.6787,-117.888286,pacific,Barley Forge Brewing Company,Brewery
427,17500,,32.711697,-117.16042,sandiego,barleymash,Beer Bar
428,6650,,38.609196,-122.869011,winecountry,Barndiva,Beer Bar
429,1944,,34.090866,-118.374313,losangeles,Barney's Beanery - Los Angeles,Beer Bar
430,17893,,34.145798,-118.148203,losangeles,Barney's Beanery - Pasadena,Beer Bar
431,1945,,34.016396,-118.496796,losangeles,Barney's Beanery - Santa Monica,Beer Bar
432,13889,,33.023703,-117.075612,sandiego,Barons The Marketplace,Beer Store
433,18500,sandiego,33.148382,-117.220471,pacific,Barrel Harbor Brewing,Brewery
